testing batch,Total Ideal Compounds,Low Error Count,Discovery Yield,Standardized Discovery Yield,Target,Variable,Method,evalt
3,97.0,66.0,0.6804123711340206,0.7014560527154852,target_CHEMBL260,,RF,unsorted_fcv
4,90.0,55.0,0.6111111111111112,0.6790123456790125,target_CHEMBL260,,RF,unsorted_fcv
5,97.0,67.0,0.6907216494845361,0.7120841747263258,target_CHEMBL260,,RF,unsorted_fcv
6,94.0,65.0,0.6914893617021277,0.7356269805341784,target_CHEMBL260,,RF,unsorted_fcv
7,94.0,67.0,0.7127659574468085,0.7582616568583069,target_CHEMBL260,,RF,unsorted_fcv
8,100.0,68.0,0.68,0.68,target_CHEMBL260,,RF,unsorted_fcv
9,94.0,69.0,0.7340425531914894,0.7808963331824355,target_CHEMBL260,,RF,unsorted_fcv
1,99.0,57.0,0.5757575757575758,0.5815733088460362,target_CHEMBL260,,xgboost,unsorted_fcv
2,83.0,62.0,0.7469879518072289,0.8999854841050952,target_CHEMBL260,,xgboost,unsorted_fcv
3,97.0,64.0,0.6597938144329897,0.6801998086938037,target_CHEMBL260,,xgboost,unsorted_fcv
4,90.0,56.0,0.6222222222222222,0.6913580246913581,target_CHEMBL260,,xgboost,unsorted_fcv
5,97.0,73.0,0.7525773195876289,0.7758529067913699,target_CHEMBL260,,xgboost,unsorted_fcv
6,94.0,64.0,0.6808510638297872,0.724309642372114,target_CHEMBL260,,xgboost,unsorted_fcv
7,94.0,64.0,0.6808510638297872,0.724309642372114,target_CHEMBL260,,xgboost,unsorted_fcv
8,100.0,61.0,0.61,0.61,target_CHEMBL260,,xgboost,unsorted_fcv
9,94.0,70.0,0.7446808510638298,0.7922136713444997,target_CHEMBL260,,xgboost,unsorted_fcv
1,99.0,39.0,0.3939393939393939,0.3979185797367616,target_CHEMBL260,,MLP,unsorted_fcv
2,83.0,34.0,0.4096385542168674,0.4935404267673102,target_CHEMBL260,,MLP,unsorted_fcv
3,97.0,55.0,0.5670103092783505,0.5845467105962375,target_CHEMBL260,,MLP,unsorted_fcv
4,90.0,54.0,0.6,0.6666666666666666,target_CHEMBL260,,MLP,unsorted_fcv
5,97.0,64.0,0.6597938144329897,0.6801998086938037,target_CHEMBL260,,MLP,unsorted_fcv
6,94.0,58.0,0.6170212765957447,0.6564056133997284,target_CHEMBL260,,MLP,unsorted_fcv
7,94.0,59.0,0.6276595744680851,0.6677229515617926,target_CHEMBL260,,MLP,unsorted_fcv
8,100.0,60.0,0.6,0.6,target_CHEMBL260,,MLP,unsorted_fcv
9,94.0,64.0,0.6808510638297872,0.724309642372114,target_CHEMBL260,,MLP,unsorted_fcv
1,94.0,41.0,0.4361702127659574,0.4361702127659574,target_CHEMBL279,,RF,unsorted_fcv
2,82.0,54.0,0.6585365853658537,0.7549077929803688,target_CHEMBL279,,RF,unsorted_fcv
3,85.0,50.0,0.5882352941176471,0.6505190311418686,target_CHEMBL279,,RF,unsorted_fcv
4,81.0,45.0,0.5555555555555556,0.6447187928669411,target_CHEMBL279,,RF,unsorted_fcv
5,88.0,57.0,0.6477272727272727,0.6918904958677685,target_CHEMBL279,,RF,unsorted_fcv
6,87.0,53.0,0.6091954022988506,0.6582111243228961,target_CHEMBL279,,RF,unsorted_fcv
7,86.0,49.0,0.5697674418604651,0.6227690643591131,target_CHEMBL279,,RF,unsorted_fcv
8,82.0,47.0,0.573170731707317,0.6570493753718024,target_CHEMBL279,,RF,unsorted_fcv
9,85.0,57.0,0.6705882352941176,0.7415916955017301,target_CHEMBL279,,RF,unsorted_fcv
1,94.0,40.0,0.425531914893617,0.425531914893617,target_CHEMBL279,,xgboost,unsorted_fcv
2,82.0,49.0,0.5975609756097561,0.6850089232599642,target_CHEMBL279,,xgboost,unsorted_fcv
3,85.0,46.0,0.5411764705882353,0.5984775086505191,target_CHEMBL279,,xgboost,unsorted_fcv
4,81.0,48.0,0.5925925925925926,0.6877000457247371,target_CHEMBL279,,xgboost,unsorted_fcv
5,88.0,49.0,0.5568181818181818,0.5947830578512395,target_CHEMBL279,,xgboost,unsorted_fcv
6,87.0,53.0,0.6091954022988506,0.6582111243228961,target_CHEMBL279,,xgboost,unsorted_fcv
7,86.0,43.0,0.5,0.5465116279069767,target_CHEMBL279,,xgboost,unsorted_fcv
8,82.0,44.0,0.5365853658536586,0.6151100535395597,target_CHEMBL279,,xgboost,unsorted_fcv
9,85.0,46.0,0.5411764705882353,0.5984775086505191,target_CHEMBL279,,xgboost,unsorted_fcv
1,94.0,24.0,0.2553191489361702,0.2553191489361702,target_CHEMBL279,,MLP,unsorted_fcv
2,82.0,30.0,0.3658536585365853,0.4193932183224271,target_CHEMBL279,,MLP,unsorted_fcv
3,85.0,33.0,0.388235294117647,0.4293425605536332,target_CHEMBL279,,MLP,unsorted_fcv
4,81.0,43.0,0.5308641975308642,0.616064624295077,target_CHEMBL279,,MLP,unsorted_fcv
5,88.0,48.0,0.5454545454545454,0.5826446280991735,target_CHEMBL279,,MLP,unsorted_fcv
6,87.0,56.0,0.6436781609195402,0.6954683577751354,target_CHEMBL279,,MLP,unsorted_fcv
7,86.0,40.0,0.4651162790697674,0.5083829096809086,target_CHEMBL279,,MLP,unsorted_fcv
8,82.0,50.0,0.6097560975609756,0.6989886972040451,target_CHEMBL279,,MLP,unsorted_fcv
9,85.0,49.0,0.5764705882352941,0.6375086505190312,target_CHEMBL279,,MLP,unsorted_fcv
1,51.0,40.0,0.7843137254901961,0.845828527489427,target_CHEMBL240,,RF,cv
2,41.0,31.0,0.7560975609756098,1.0142772159428912,target_CHEMBL240,,RF,cv
3,55.0,40.0,0.7272727272727273,0.7272727272727273,target_CHEMBL240,,RF,cv
4,52.0,36.0,0.6923076923076923,0.7322485207100592,target_CHEMBL240,,RF,cv
5,51.0,42.0,0.8235294117647058,0.8881199538638984,target_CHEMBL240,,RF,cv
6,40.0,28.0,0.7,0.9625,target_CHEMBL240,,RF,cv
7,44.0,35.0,0.7954545454545454,0.9943181818181818,target_CHEMBL240,,RF,cv
8,41.0,28.0,0.6829268292682927,0.9161213563355148,target_CHEMBL240,,RF,cv
9,35.0,23.0,0.6571428571428571,1.0326530612244895,target_CHEMBL240,,RF,cv
10,40.0,31.0,0.775,1.065625,target_CHEMBL240,,RF,cv
1,51.0,37.0,0.7254901960784313,0.78239138792772,target_CHEMBL240,,xgboost,cv
2,41.0,34.0,0.8292682926829268,1.1124330755502676,target_CHEMBL240,,xgboost,cv
3,55.0,30.0,0.5454545454545454,0.5454545454545454,target_CHEMBL240,,xgboost,cv
4,52.0,31.0,0.5961538461538461,0.6305473372781065,target_CHEMBL240,,xgboost,cv
5,51.0,38.0,0.7450980392156863,0.8035371011149558,target_CHEMBL240,,xgboost,cv
6,40.0,28.0,0.7,0.9625,target_CHEMBL240,,xgboost,cv
7,44.0,38.0,0.8636363636363636,1.0795454545454546,target_CHEMBL240,,xgboost,cv
8,41.0,26.0,0.6341463414634146,0.8506841165972636,target_CHEMBL240,,xgboost,cv
9,35.0,24.0,0.6857142857142857,1.0775510204081633,target_CHEMBL240,,xgboost,cv
10,40.0,32.0,0.8,1.1,target_CHEMBL240,,xgboost,cv
1,51.0,40.0,0.7843137254901961,0.845828527489427,target_CHEMBL240,,MLP,cv
2,41.0,30.0,0.7317073170731707,0.9815585960737656,target_CHEMBL240,,MLP,cv
3,55.0,37.0,0.6727272727272727,0.6727272727272727,target_CHEMBL240,,MLP,cv
4,52.0,35.0,0.6730769230769231,0.7119082840236687,target_CHEMBL240,,MLP,cv
5,51.0,38.0,0.7450980392156863,0.8035371011149558,target_CHEMBL240,,MLP,cv
6,40.0,27.0,0.675,0.928125,target_CHEMBL240,,MLP,cv
7,44.0,30.0,0.6818181818181818,0.8522727272727272,target_CHEMBL240,,MLP,cv
8,41.0,19.0,0.4634146341463415,0.6216537775133849,target_CHEMBL240,,MLP,cv
9,35.0,23.0,0.6571428571428571,1.0326530612244895,target_CHEMBL240,,MLP,cv
10,40.0,35.0,0.875,1.203125,target_CHEMBL240,,MLP,cv
1,92.0,68.0,0.7391304347826086,0.8676748582230625,target_CHEMBL260,,RF,cv
2,100.0,71.0,0.71,0.7668,target_CHEMBL260,,RF,cv
3,91.0,64.0,0.7032967032967034,0.8346818017147688,target_CHEMBL260,,RF,cv
4,89.0,73.0,0.8202247191011236,0.995328872617094,target_CHEMBL260,,RF,cv
5,83.0,60.0,0.7228915662650602,0.9406299898388736,target_CHEMBL260,,RF,cv
6,108.0,79.0,0.7314814814814815,0.7314814814814815,target_CHEMBL260,,RF,cv
7,95.0,70.0,0.7368421052631579,0.8376731301939058,target_CHEMBL260,,RF,cv
8,92.0,64.0,0.6956521739130435,0.8166351606805293,target_CHEMBL260,,RF,cv
9,104.0,78.0,0.75,0.778846153846154,target_CHEMBL260,,RF,cv
10,87.0,71.0,0.8160919540229885,1.0130796670630202,target_CHEMBL260,,RF,cv
1,92.0,67.0,0.7282608695652174,0.8549149338374292,target_CHEMBL260,,xgboost,cv
2,100.0,73.0,0.73,0.7884,target_CHEMBL260,,xgboost,cv
3,91.0,67.0,0.7362637362637363,0.8738075111701485,target_CHEMBL260,,xgboost,cv
4,89.0,72.0,0.8089887640449438,0.9816942305264488,target_CHEMBL260,,xgboost,cv
